AMX;AMRXS;Amerex Petroleum #2 
arraco;ARAXBRK;Arraco Global Markets
bgc;BGCPSL;BGC Partners
fis;FISLBR;Freight Investor Service
ginga;GGMPTE;Ginga Global Markets
icap;ICAPPTEBR;ICAP Energy
mcq;MCQUILLBR;McQuilling Energy Brokerage
maq;MCQUILLBR;McQuilling Energy Brokerage
marex;MRXASIA;Spectron Energy Asia
ob;OILBL;Oil Brokerage
pvm sing;PVWSING;PVM Oil Associates
pvm;PVWSING;PVM Oil Associates
RJO;RJMENABRK;R.J. O'Brien (Mena) Capital Limited - Broker
starf;SPL;Starfuels
starfuels;SPL;Starfuels
straits;STRFPL;Straits Financial Services
tfs;TFSDER;TFS
tp;TPEBR;Tullett Prebon Energy
sante;UOTPL;Sante Energy
